station,Date,skyc1,skyc2,skyc3,skyl1,skyl2,skyl3,wxcodes
HUA,1/11/20 9:58,OVC,M,M,1900,M,M,M
HUA,1/11/20 10:58,OVC,M,M,2400,M,M,M
HUA,1/11/20 11:58,OVC,M,M,2500,M,M,M
HUA,1/11/20 12:58,FEW,BKN,BKN,800,2400,2900,M
HUA,1/11/20 13:58,OVC,M,M,2400,M,M,M
HUA,1/11/20 14:58,BKN,OVC,M,2700,3400,M,M
HUA,1/11/20 15:58,OVC,M,M,2800,M,M,M
HUA,1/11/20 16:08,OVC,M,M,2900,M,M,M
HUA,1/11/20 16:58,BKN,OVC,M,2900,3500,M,M
HUA,1/11/20 17:08,OVC,M,M,3100,M,M,M
HUA,1/11/20 17:28,OVC,M,M,2900,M,M,M
HUA,1/11/20 17:58,OVC,M,M,2800,M,M,M
HUA,1/11/20 18:58,FEW,OVC,M,300,2600,M,#NAME?
HUA,1/11/20 19:05,FEW,SCT,BKN,300,700,1900,#NAME?
HUA,1/11/20 19:10,FEW,BKN,OVC,300,1900,2500,#NAME?
HUA,1/11/20 19:15,OVC,M,M,2400,M,M,#NAME?
HUA,1/11/20 19:21,FEW,OVC,M,200,3000,M,#NAME?
HUA,1/11/20 19:29,SCT,OVC,M,200,4000,M,TSRA
HUA,1/11/20 19:44,BKN,OVC,M,400,6000,M,#NAME?
HUA,1/11/20 19:58,BKN,OVC,M,400,9500,M,RA BR VCTS
HUA,1/11/20 20:08,SCT,OVC,M,400,9000,M,RA BR VCTS
HUA,1/11/20 20:38,SCT,BKN,BKN,300,700,1800,#NAME?
HUA,1/11/20 20:58,FEW,BKN,BKN,300,700,1500,#NAME?
HUA,1/11/20 21:18,FEW,SCT,BKN,900,1300,2300,#NAME?
HUA,1/11/20 21:28,FEW,SCT,SCT,800,1300,2300,M
HUA,1/11/20 21:58,OVC,M,M,9500,M,M,M
HUA,1/11/20 22:48,SCT,BKN,OVC,1900,2700,10000,M
HUA,1/11/20 22:58,BKN,BKN,OVC,1900,2600,10000,M
HUA,1/11/20 23:58,FEW,SCT,SCT,1900,2400,3000,M
HUA,1/12/20 0:08,FEW,SCT,SCT,400,1700,2400,#NAME?
HUA,1/12/20 0:18,FEW,SCT,BKN,500,2800,4200,#NAME?
HUA,1/12/20 0:58,BKN,BKN,M,2400,6000,M,M
HUA,1/12/20 1:08,SCT,BKN,M,2500,3200,M,M
HUA,1/12/20 1:18,BKN,BKN,M,2500,3200,M,M
HUA,1/12/20 1:58,BKN,M,M,1900,M,M,M
HUA,1/12/20 2:58,FEW,M,M,1500,M,M,M
HUA,1/12/20 3:58,CLR,M,M,M,M,M,M
HUA,1/12/20 4:18,BKN,M,M,2800,M,M,M
HUA,1/12/20 4:58,BKN,OVC,M,1800,2500,M,M
HUA,1/12/20 5:18,SCT,OVC,M,1900,3200,M,M
HUA,1/12/20 5:58,OVC,M,M,3200,M,M,M
HUA,1/12/20 6:38,OVC,M,M,2900,M,M,M
